fips,population,population_density,median_household_income,unemployment_rate,pct_college_educated,ag_employment_share
48347,64768,68.44,51153,0.0664,0.2536,0.0362
48349,52834,52.33,56261,0.0558,0.17,0.0371
48351,12333,13.21,38871,0.1058,0.0679,0.0548
48353,14657,16.07,47437,0.0665,0.1396,0.0677
48355,353245,421.0,64027,0.0568,0.2249,0.0215
48357,9924,10.81,62240,0.0153,0.1856,0.2678
48359,2171,1.45,71103,0.0145,0.2389,0.1134
48361,84761,253.94,71910,0.0577,0.1716,0.0131
48363,28569,29.99,65242,0.0734,0.1806,0.0844
48365,22540,27.78,58205,0.0293,0.1615,0.1065
48367,151188,167.3,95721,0.0389,0.3088,0.0345
48369,9809,11.14,65575,0.0214,0.1845,0.1534
48371,15114,3.17,59325,0.0123,0.1147,0.1511
48373,50536,47.81,57315,0.0931,0.1319,0.049
48375,117905,129.8,47974,0.037,0.1697,0.0116
48377,6168,1.6,29012,0.1235,0.2122,0.1462
48379,12257,53.42,60291,0.023,0.205,0.0474
48381,141489,155.02,78038,0.0284,0.3271,0.0207
48383,3308,2.81,70319,0.0867,0.1198,0.3983
48385,2830,4.05,46842,0.0156,0.2095,0.0408
48387,11627,11.14,44583,0.0378,0.1397,0.0382
48389,14022,5.32,57487,0.0695,0.0984,0.1636
48391,6718,8.72,54304,0.056,0.1121,0.1163
48393,764,0.83,62667,0.005,0.1922,0.191
48395,16912,19.78,59410,0.0867,0.1838,0.0749
48397,110631,869.7,121303,0.0388,0.4387,0.0058
48399,9858,9.38,55424,0.03,0.1832,0.1432
48401,52755,57.08,61661,0.0554,0.1583,0.0856
48403,9980,20.3,47061,0.0838,0.1788,0.0363
48405,7920,14.92,45888,0.1035,0.1278,0.0796
48407,27666,48.6,54839,0.0711,0.16,0.0355
48409,68942,99.42,63842,0.0436,0.176,0.0586
48411,5779,5.09,54087,0.0377,0.1944,0.1333
48413,2474,1.89,53774,0.0686,0.136,0.3333
48415,16883,18.65,58932,0.0225,0.1856,0.1817
48417,3134,3.43,60924,0.0723,0.324,0.1839
48419,24157,30.36,49231,0.0402,0.1383,0.1061
48421,2414,2.62,66169,0.0153,0.2179,0.2377
48423,234667,254.67,69053,0.0472,0.2738,0.0295
48425,9337,50.1,87899,0.0394,0.286,0.0449
48427,65716,53.73,35979,0.1146,0.1273,0.0486
48429,9260,10.33,44712,0.0862,0.1841,0.1784
48431,1392,1.51,63558,0.0,0.2341,0.2522
48433,1331,1.45,66591,0.0177,0.1508,0.2489
48435,3345,2.3,56778,0.0473,0.1534,0.2035
48437,6989,7.85,40290,0.0519,0.193,0.1274
48439,2113854,2442.96,78872,0.0488,0.3391,0.008
48441,143029,156.22,61806,0.0239,0.2867,0.0208
48443,862,0.37,52813,0.0,0.2953,0.1621
48445,11816,13.29,42694,0.0475,0.1103,0.2244
48447,1439,1.58,55221,0.0252,0.2021,0.1839
48449,31301,77.08,57634,0.0402,0.1535,0.0267
48451,119276,78.37,67215,0.0315,0.2464,0.0589
48453,1289054,1296.77,92731,0.0418,0.5379,0.0056
48455,13735,19.8,51165,0.0704,0.1484,0.0523
48457,19962,21.59,50898,0.126,0.1311,0.0917
48459,41261,70.78,60456,0.0433,0.1703,0.0467
48461,3284,2.65,55284,0.047,0.0966,0.2949
48463,24833,16.0,55000,0.0321,0.1909,0.066
48465,47693,15.17,57250,0.0338,0.2023,0.0456
48467,60053,71.27,62334,0.0309,0.1708,0.0664
48469,91209,103.4,66308,0.0515,0.192,0.0496
48471,77182,98.42,47193,0.0703,0.1932,0.0297
48473,57463,111.95,71643,0.0606,0.2487,0.0396
48475,11347,13.58,70771,0.0553,0.1134,0.1503
48477,35807,59.26,70043,0.0269,0.2885,0.0379
48479,267282,79.51,59984,0.0593,0.2058,0.0328
48481,41614,38.31,59712,0.0567,0.1811,0.0921
48483,4980,5.45,58158,0.0657,0.1727,0.2049
48485,129584,206.48,58862,0.0417,0.2387,0.0248
48487,12795,13.18,50769,0.0929,0.1664,0.0699
48489,20308,34.39,42839,0.0871,0.1048,0.1077
48491,617396,553.31,102851,0.0436,0.4628,0.0059
48493,50381,62.68,89708,0.0337,0.2539,0.0456
48495,7582,9.01,89155,0.0228,0.0909,0.1982
48497,70062,77.47,85385,0.0431,0.2081,0.0704
48499,45341,70.27,61748,0.0528,0.2113,0.0495
48501,7630,9.54,80317,0.0392,0.0968,0.3143
48503,17903,19.58,65565,0.0263,0.2254,0.1564
48505,13896,13.92,35061,0.0805,0.1135,0.1123
48507,9700,7.48,49243,0.0576,0.1376,0.0895
49001,7102,2.75,80268,0.0365,0.2754,0.1211
49003,58291,10.15,72769,0.0263,0.2584,0.0368
49005,134428,115.42,72719,0.0245,0.3995,0.0152
49007,20338,13.75,53734,0.0673,0.1673,0.0749
49009,638,0.92,61250,0.0349,0.1818,0.0361
49011,363032,1213.88,101285,0.0246,0.3837,0.0078
49013,19779,6.11,70821,0.0429,0.1438,0.1523
49015,9898,2.22,67056,0.0362,0.156,0.113
49017,5121,0.99,56481,0.0442,0.3032,0.0591
49019,9680,2.64,59171,0.0125,0.3172,0.0297
49021,58068,17.62,63005,0.0328,0.3038,0.0331
49023,11943,3.52,88048,0.0188,0.2139,0.0481
49025,7814,1.96,70327,0.0353,0.3239,0.0392
49027,13027,1.92,69403,0.0441,0.2355,0.1253
49029,12367,20.3,120854,0.0171,0.3758,0.0357
49031,1764,2.33,33359,0.0912,0.1961,0.0917
49033,2543,2.47,69250,0.0258,0.2683,0.0856
49035,1180643,1591.01,90011,0.0359,0.3769,0.0073
49037,14524,1.86,52108,0.1208,0.1906,0.0685
49039,28816,18.12,64356,0.0455,0.2232,0.0819
49041,21667,11.34,66972,0.0488,0.2283,0.0694
49043,42524,22.73,126392,0.0225,0.5744,0.0145
49045,74032,10.66,95545,0.039,0.2258,0.0183
49047,35951,8.02,67983,0.0625,0.1798,0.1371
49049,666021,332.33,91263,0.0343,0.4283,0.0082
49051,35009,29.74,104855,0.0237,0.4668,0.0263
49053,183297,75.51,71976,0.0305,0.3276,0.0079
49055,2532,1.03,64870,0.0062,0.2225,0.1099
49057,262960,456.31,82291,0.0308,0.2701,0.0091
50001,37434,48.86,85870,0.041,0.4184,0.0504
50003,37326,55.31,68558,0.0415,0.394,0.0192
50005,30418,46.89,62964,0.0263,0.3151,0.0295
50007,168309,313.26,89494,0.0391,0.557,0.0116
50009,5976,9.02,55247,0.0543,0.2017,0.0472
50011,50101,79.44,73633,0.033,0.2741,0.0421
50013,7335,89.7,86639,0.0345,0.426,0.0357
50015,25977,56.2,69886,0.0393,0.428,0.0221
50017,29439,42.84,74534,0.0309,0.3523,0.0539
50019,27459,39.54,63981,0.0606,0.2773,0.0452
50021,60585,65.16,62641,0.0427,0.3304,0.0211
50023,59768,87.05,77278,0.0296,0.4618,0.0206
50025,45857,58.38,65473,0.0435,0.404,0.0257
50027,57832,59.63,69492,0.0367,0.4076,0.0286
51001,33367,74.26,52694,0.0373,0.2135,0.0596
51003,112513,156.17,97708,0.0311,0.6013,0.0121
51005,15159,33.95,52546,0.037,0.1524,0.0173
51007,13309,37.45,63438,0.0413,0.1772,0.0235
51009,31426,66.3,64454,0.0448,0.2186,0.0085
51011,16253,48.63,60041,0.0351,0.1928,0.0249
51013,235845,9071.86,137387,0.0278,0.7676,0.002
51015,77433,80.07,76124,0.03,0.2326,0.0334
51017,4177,7.89,55699,0.0201,0.1834,0.0639
51019,79761,104.93,74773,0.0291,0.3256,0.0157
51021,6241,17.45,59901,0.0335,0.1642,0.0746
51023,33734,62.32,77680,0.0309,0.2765,0.0165
51025,15965,28.2,52678,0.0516,0.1605,0.0402
51027,20246,40.26,39591,0.0597,0.1094,0.1374
51029,16869,29.1,59894,0.0503,0.1216,0.05
51031,55518,110.33,59022,0.0494,0.2465,0.0155
51033,31181,59.13,83562,0.0463,0.2231,0.0129
51035,29126,61.35,49113,0.0482,0.159,0.0202
51036,6760,36.96,65573,0.041,0.1619,0.0214
51037,11563,24.33,51548,0.0362,0.1663,0.055
51041,366019,864.26,95757,0.0473,0.4232,0.003
51043,14882,84.59,107475,0.0351,0.3449,0.0347
51045,4898,14.93,66286,0.0187,0.1597,0.0576
51047,52822,139.3,92359,0.039,0.2685,0.0133
51049,9697,32.6,56497,0.0319,0.1853,0.0166
51051,14089,42.64,40143,0.0341,0.1143,0.095
51053,28057,55.68,77225,0.0473,0.1785,0.0054
51057,10602,41.2,52335,0.0985,0.1532,0.0145
51059,1145354,2929.14,145165,0.0412,0.641,0.0013
51061,73290,113.1,122785,0.0233,0.3943,0.0229
51063,15532,40.77,57146,0.0263,0.232,0.0451
51065,27442,95.58,90766,0.0297,0.3579,0.0178
51067,54838,79.41,66275,0.0284,0.2385,0.0193
51069,92007,222.7,92443,0.0416,0.2909,0.0136
51071,16711,46.78,61987,0.0218,0.1925,0.0135
51073,38875,178.48,83750,0.034,0.255,0.0227
51075,24906,88.31,105600,0.0244,0.4444,0.0221
51077,15356,34.76,43348,0.0425,0.141,0.0397
51079,20631,132.29,81338,0.0383,0.2789,0.0124
51081,11373,38.52,51823,0.0632,0.1343,0.0321
51083,34013,41.59,49145,0.0368,0.1709,0.0206
51085,110513,236.33,104678,0.0294,0.4184,0.0109
51087,333120,1425.57,82424,0.0391,0.4539,0.0033
51089,50760,132.76,43694,0.0523,0.144,0.0047
51091,2247,5.41,57070,0.1466,0.3065,0.0902
51093,38898,123.22,91680,0.0547,0.2978,0.0151
51095,78818,553.89,100711,0.0367,0.5002,0.0025
51097,6681,21.2,70147,0.0568,0.2256,0.066
51099,26985,150.23,103264,0.0257,0.3486,0.0084
51101,17845,65.15,79398,0.0397,0.2481,0.0104
51103,10866,81.51,62674,0.0935,0.323,0.0095
51105,22287,51.19,41619,0.0809,0.1152,0.0375
51107,420773,815.87,170463,0.032,0.635,0.0061
