fips,dc_employment,dc_employment_growth
41067,1668,0.0177
41069,0,
41071,29,0.5263
42001,9,0.2857
42003,2356,0.2811
42005,16,-0.7037
42007,16,1.6667
42011,152,0.1343
42013,18,0.5
42015,0,
42017,909,0.086
42019,192,0.2973
42021,49,1.7222
42025,177,0.1274
42027,116,1.0
42029,1630,0.2074
42033,31,9.3333
42035,10,
42037,19,3.75
42039,26,-0.0714
42041,275,-0.4035
42043,249,-0.1994
42045,155,0.7614
42047,0,
42049,54,1.5714
42051,18,-0.2174
42055,17,-0.3704
42059,0,
42061,10,
42063,5,0.0
42067,0,
42069,73,1.0278
42071,182,0.3684
42073,10,0.6667
42075,41,3.1
42077,146,-0.4511
42079,229,0.9083
42081,14,1.8
42083,0,
42085,129,1.3455
42087,0,
42089,36,0.3333
42091,2832,-0.0522
42095,817,0.1997
42097,7,0.0
42099,9,0.125
42101,1712,1.3944
42103,21,2.5
42105,17,3.25
42107,6,0.2
42109,46,-0.0417
42111,26,4.2
42115,14,
42117,0,-1.0
42121,0,
42123,19,0.0
42125,166,0.3833
42127,12,-0.0769
42129,149,2.3864
42131,7,1.3333
42133,108,0.44
44001,20,1.8571
44003,165,0.7742
44005,68,0.7895
44007,355,-0.1035
44009,113,2.4242
45001,38,0.0556
45003,12,0.0
45007,94,5.2667
45011,0,
45013,54,0.6875
45015,111,2.3636
45017,16,0.1429
45019,1000,0.006
45021,0,
45023,7,
45025,4,0.3333
45027,0,
45033,30,9.0
45035,35,0.2069
45039,0,
45041,46,6.6667
45043,52,0.6774
45045,552,0.1265
45047,32,7.0
45049,0,
45051,425,0.5977
45055,3,0.0
45057,65,0.383
45059,11,1.2
45061,0,
45063,100,-0.6016
45065,0,
45067,0,
45071,6,-0.4
45073,44,0.6296
45075,4,
45077,24,1.1818
45079,702,0.0734
45083,54,1.0769
45085,5,0.25
45087,0,
45089,0,
45091,677,0.0628
46005,0,
46011,19,1.375
46013,15,0.3636
46019,3,0.0
46025,0,
46027,3,
46029,3,
46033,0,
46035,4,
46037,0,
46047,0,
46061,0,-1.0
46065,20,0.25
46067,0,
46079,5,0.6667
46081,8,1.6667
46083,13,1.6
46087,0,
46093,3,-0.25
46099,167,0.4911
46103,49,1.45
46105,0,
46109,0,
46111,0,
46115,3,
46117,0,
46119,0,
46127,7,1.3333
46135,0,
47001,16,1.2857
47003,29,0.0
47005,0,
47009,22,-0.0435
47011,11,1.2
47013,10,1.0
47015,0,
47017,4,
47019,0,
47021,40,1.6667
47025,0,
47027,0,
47029,0,
47031,21,1.3333
47035,24,5.0
47037,2849,-0.1945
47041,4,0.3333
47043,3,0.0
47045,0,
47047,3,
47049,0,
47051,16,2.2
47055,14,0.0769
47057,0,
47059,4,
47063,4,
47065,921,2.4624
47073,0,
47079,0,
47081,0,
47083,0,
47091,3,0.0
47093,509,0.2693
47101,0,
47105,32,-0.7064
47107,6,1.0
47113,16,0.0667
47115,8,0.6
47117,0,
47119,61,0.9677
47121,0,
47123,0,
47125,343,27.5833
47129,0,
47131,0,
47135,0,
47137,0,
47139,0,
47141,34,0.5455
47143,0,
47145,8,-0.1111
47147,0,
47149,408,12.1613
47151,0,
47153,0,
47155,13,-0.2353
47157,685,2.1422
47159,0,
47161,0,
47163,86,0.0
47165,300,1.6316
47171,0,
47173,0,
47175,0,
47177,7,-0.8333
47179,32,1.2857
47183,3,
47185,0,
47187,1548,0.2889
47189,55,4.0
48001,8,1.0
48003,0,
48005,3,0.0
48007,0,
48013,45,0.0
48015,44,0.3333
48019,8,0.0
48021,4,
48027,56,-0.6433
48029,4076,-0.4348
48031,0,
48035,0,
48037,15,4.0
48039,27,1.25
48041,176,3.5128
48049,6,
48053,7,
48055,0,
48057,13,
48059,0,
48061,7,-0.6957
48063,0,
48067,0,
48073,0,
48085,7525,0.0843
48091,14,2.5
48093,0,
48097,3,0.0
48099,5,-0.5455
48101,0,
48103,0,
48111,13,3.3333
48113,8232,0.3976
48117,0,
48121,1050,0.2666
48125,0,
48133,0,
48135,0,
48139,126,5.0
48141,1058,0.0038
48143,0,
48157,316,0.0934
48161,0,
48163,0,
48165,0,
48167,26,1.6
48173,0,
48177,0,
48179,0,
48181,73,17.25
48187,6,
48189,0,
48199,8,0.6
48201,7984,0.6682
48203,12,0.3333
48209,71,1.4483
48213,17,0.5455
48215,320,1.8829
48221,0,
48225,0,-1.0
48227,5,
48231,0,-1.0
48245,28,1.8
48251,7,-0.4615
48257,177,
48259,14,
48265,3,-0.5
48273,0,
48277,11,
48281,0,
48283,0,
48287,0,
48289,0,
48291,14,2.5
48301,0,
48303,133,0.5833
48305,0,
48309,51,0.275
48315,0,
48323,0,
48325,0,
48329,19,3.75
48331,0,
48339,324,-0.0122
48343,0,
48347,87,0.4032
48349,0,
