fips,approval_prob,beta_alpha,beta_beta
13309,0.5084,20.34,19.66
13311,0.6244,24.97,15.03
13313,0.7097,28.39,11.61
13315,0.5084,20.34,19.66
13317,0.4768,19.07,20.93
13319,0.5052,20.21,19.79
13321,0.5084,20.34,19.66
15001,0.44,17.6,22.4
15003,0.44,17.6,22.4
15005,0.44,17.6,22.4
15007,0.44,17.6,22.4
15009,0.44,17.6,22.4
16001,0.44,17.6,22.4
16003,0.44,17.6,22.4
16005,0.44,17.6,22.4
16007,0.44,17.6,22.4
16009,0.44,17.6,22.4
16011,0.44,17.6,22.4
16013,0.44,17.6,22.4
16015,0.44,17.6,22.4
16017,0.44,17.6,22.4
16019,0.44,17.6,22.4
16021,0.44,17.6,22.4
16023,0.44,17.6,22.4
16025,0.44,17.6,22.4
16027,0.44,17.6,22.4
16029,0.44,17.6,22.4
16031,0.44,17.6,22.4
16033,0.44,17.6,22.4
16035,0.44,17.6,22.4
16037,0.44,17.6,22.4
16039,0.44,17.6,22.4
16041,0.44,17.6,22.4
16043,0.44,17.6,22.4
16045,0.44,17.6,22.4
16047,0.44,17.6,22.4
16049,0.44,17.6,22.4
16051,0.44,17.6,22.4
16053,0.44,17.6,22.4
16055,0.44,17.6,22.4
16057,0.44,17.6,22.4
16059,0.44,17.6,22.4
16061,0.44,17.6,22.4
16063,0.44,17.6,22.4
16065,0.44,17.6,22.4
16067,0.44,17.6,22.4
16069,0.44,17.6,22.4
16071,0.44,17.6,22.4
16073,0.44,17.6,22.4
16075,0.44,17.6,22.4
16077,0.44,17.6,22.4
16079,0.44,17.6,22.4
16081,0.44,17.6,22.4
16083,0.44,17.6,22.4
16085,0.44,17.6,22.4
16087,0.44,17.6,22.4
17001,0.44,17.6,22.4
17003,0.44,17.6,22.4
17005,0.44,17.6,22.4
17007,0.44,17.6,22.4
17009,0.44,17.6,22.4
17011,0.44,17.6,22.4
17013,0.44,17.6,22.4
17015,0.44,17.6,22.4
17017,0.44,17.6,22.4
17019,0.44,17.6,22.4
17021,0.44,17.6,22.4
17023,0.44,17.6,22.4
17025,0.44,17.6,22.4
17027,0.44,17.6,22.4
17029,0.44,17.6,22.4
17031,0.44,17.6,22.4
17033,0.44,17.6,22.4
17035,0.44,17.6,22.4
17037,0.44,17.6,22.4
17039,0.44,17.6,22.4
17041,0.44,17.6,22.4
17043,0.44,17.6,22.4
17045,0.44,17.6,22.4
17047,0.44,17.6,22.4
17049,0.44,17.6,22.4
17051,0.44,17.6,22.4
17053,0.44,17.6,22.4
17055,0.44,17.6,22.4
17057,0.44,17.6,22.4
17059,0.44,17.6,22.4
17061,0.44,17.6,22.4
17063,0.44,17.6,22.4
17065,0.44,17.6,22.4
17067,0.44,17.6,22.4
17069,0.44,17.6,22.4
17071,0.44,17.6,22.4
17073,0.44,17.6,22.4
17075,0.44,17.6,22.4
17077,0.44,17.6,22.4
17079,0.44,17.6,22.4
17081,0.44,17.6,22.4
17083,0.44,17.6,22.4
17085,0.44,17.6,22.4
17087,0.44,17.6,22.4
17089,0.44,17.6,22.4
17091,0.44,17.6,22.4
17093,0.44,17.6,22.4
